Date;Price;Open;High;Low;Vol;Change %
May 19. 2021;36720.50;42898.30;43516.60;30261.70;60710K;-14.40%
May 18. 2021;42897.30;43538.50;45770.90;42293.90;15496K;-1.48%
May 17. 2021;43541.30;46424.20;46545.40;42201.50;27476K;-6.21%
May 16. 2021;46426.40;46729.30;49764.30;43920.80;18007K;-0.60%
May 15. 2021;46708.80;49839.10;50640.90;46650.20;13191K;-6.28%
May 14. 2021;49839.80;49704.90;51459.20;48874.00;11884K;0.27%
May 13. 2021;49704.60;49398.20;51337.30;46331.10;23671K;0.65%
May 12. 2021;49384.20;56694.50;57938.50;49187.00;16074K;-12.90%
May 11. 2021;56695.70;55846.10;56871.10;54550.40;9647K;1.52%
May 10. 2021;55848.90;58251.20;59523.90;53678.30;14261K;-4.10%
May 09. 2021;58238.30;58840.60;59227.00;56414.40;10359K;-1.02%
May 08. 2021;58840.10;57330.30;59471.10;56972.20;10127K;2.62%
May 07. 2021;57337.20;56411.40;58639.30;55300.10;11001K;1.65%
May 06. 2021;56405.40;57441.00;58364.90;55294.50;10902K;-1.80%
May 05. 2021;57441.30;53872.50;57936.40;53872.50;11982K;6.88%
May 04. 2021;53741.50;57170.60;57201.30;53741.50;13233K;-6.00%
May 03. 2021;57169.80;56605.80;58925.10;56562.40;8924K;1.00%
May 02. 2021;56603.80;57807.20;57868.40;56110.50;5361K;-2.08%
May 01. 2021;57807.10;57719.10;58449.40;57029.50;6341K;0.15%
Apr 30. 2021;57720.30;53562.30;57925.60;53088.70;10374K;7.77%
Apr 29. 2021;53560.80;54838.60;55173.70;52400.00;8390K;-2.34%
Apr 28. 2021;54841.40;55036.00;56419.90;53876.40;8696K;-0.35%
Apr 27. 2021;55036.50;54011.10;55427.80;53345.00;8408K;1.88%
Apr 26. 2021;54020.50;48963.50;54320.90;48815.90;12976K;10.33%
Apr 25. 2021;48963.60;50088.20;50532.40;47098.50;5920K;-2.25%
Apr 24. 2021;50088.90;51140.80;51183.00;48775.20;8225K;-2.06%
Apr 23. 2021;51143.60;51707.10;52099.90;47659.40;21446K;-1.13%
Apr 22. 2021;51729.50;53821.30;55408.40;50590.90;16813K;-3.88%
Apr 21. 2021;53820.20;56479.50;56764.40;53657.60;10026K;-4.71%
Apr 20. 2021;56483.20;55645.10;57054.90;53422.50;11549K;1.50%
Apr 19. 2021;55646.10;56208.10;57517.00;54272.30;11751K;-1.00%
Apr 18. 2021;56207.10;60043.20;60362.10;51817.60;21681K;-6.39%
Apr 17. 2021;60041.90;61358.30;62509.10;59672.10;8408K;-2.18%
Apr 16. 2021;61379.70;63211.60;63518.50;60027.30;13685K;-2.90%
Apr 15. 2021;63216.00;62978.60;63729.10;62067.50;7697K;0.37%
Apr 14. 2021;62980.40;63544.20;64778.00;61366.30;13043K;-0.88%
Apr 13. 2021;63540.90;59863.60;63659.00;59839.40;12656K;6.14%
Apr 12. 2021;59863.80;59982.10;61259.90;59569.20;8188K;-0.19%
Apr 11. 2021;59978.70;59772.40;60667.10;59250.30;5820K;0.39%
Apr 10. 2021;59748.40;58127.40;61229.00;57900.00;10372K;2.80%
